sr_no,severity,check_type,vendor,pan,section,amount,finding,remediation,status
11,ERROR,tds_timing,Akash Nagar,AAAAA0005A,194A,,"Late TDS deduction on Akash Nagar (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹491 (49,099 × 1% × 1 months).",Manual review required.,Open
12,ERROR,tds_timing,Rahul Shah,AAAAA0006A,194A,,"Late TDS deduction on Rahul Shah (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹206 (20,593 × 1% × 1 months).",Manual review required.,Open
13,ERROR,tds_timing,Karan Kothari,AAAAA0008A,194A,,"Late TDS deduction on Karan Kothari (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹153 (15,312 × 1% × 1 months).",Manual review required.,Open
14,ERROR,tds_timing,Ramesh Lohia,AAAAA0009A,194A,,"Late TDS deduction on Ramesh Lohia (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹80 (7,989 × 1% × 1 months).",Manual review required.,Open
15,ERROR,tds_timing,AMRITA ICONS,AYBPS6260R,194C,,"Late TDS deduction on AMRITA ICONS (194C): Expense on 28-May-2024, TDS deducted on 30-Sep-2024 (125 days late, 5 month(s)). Interest u/s 201(1A): ₹1 (16 × 1% × 5 months).",Manual review required.,Open
16,ERROR,tds_timing,AMRITA ICONS,AYBPS6260R,194C,,"Late TDS deduction on AMRITA ICONS (194C): Expense on 05-Sep-2024, TDS deducted on 30-Sep-2024 (25 days late, 1 month(s)). Interest u/s 201(1A): ₹18 (1,798 × 1% × 1 months).",Manual review required.,Open
17,ERROR,tds_timing,AMRITA ICONS,AYBPS6260R,194C,,"Late TDS deduction on AMRITA ICONS (194C): Expense on 06-Mar-2025, TDS deducted on 31-Mar-2025 (25 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (17 × 1% × 1 months).",Manual review required.,Open
18,ERROR,tds_timing,AMRITA ICONS,AYBPS6260R,194C,,"Late TDS deduction on AMRITA ICONS (194C): Expense on 28-Mar-2025, TDS deducted on 31-Mar-2025 (3 days late, 1 month(s)). Interest u/s 201(1A): ₹2 (236 × 1% × 1 months).",Manual review required.,Open
19,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 30-Sep-2024, TDS deducted on 31-Jan-2025 (123 days late, 5 month(s)). Interest u/s 201(1A): ₹70 (1,400 × 1% × 5 months).",Manual review required.,Open
20,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 31-Oct-2024, TDS deducted on 31-Jan-2025 (92 days late, 4 month(s)). Interest u/s 201(1A): ₹3 (67 × 1% × 4 months).",Manual review required.,Open
21,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 31-Oct-2024, TDS deducted on 31-Jan-2025 (92 days late, 4 month(s)). Interest u/s 201(1A): ₹3 (67 × 1% × 4 months).",Manual review required.,Open
22,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 30-Nov-2024, TDS deducted on 31-Jan-2025 (62 days late, 3 month(s)). Interest u/s 201(1A): ₹9 (300 × 1% × 3 months).",Manual review required.,Open
23,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 30-Nov-2024, TDS deducted on 31-Jan-2025 (62 days late, 3 month(s)). Interest u/s 201(1A): ₹2 (67 × 1% × 3 months).",Manual review required.,Open
24,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 31-Dec-2024, TDS deducted on 31-Jan-2025 (31 days late, 2 month(s)). Interest u/s 201(1A): ₹1 (67 × 1% × 2 months).",Manual review required.,Open
25,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 16-Jan-2025, TDS deducted on 31-Jan-2025 (15 days late, 1 month(s)). Interest u/s 201(1A): ₹7 (720 × 1% × 1 months).",Manual review required.,Open
26,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 31-Jan-2025, TDS deducted on 28-Feb-2025 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (66 × 1% × 1 months).",Manual review required.,Open
27,ERROR,tds_timing,ANDERSON TECHNOLOGY PVT LTD,AAFCA4805K,194C,,"Late TDS deduction on ANDERSON TECHNOLOGY PVT LTD (194C): Expense on 28-Feb-2025, TDS deducted on 01-Mar-2025 (1 days late, 1 month(s)). Interest u/s 201(1A): ₹8 (800 × 1% × 1 months).",Manual review required.,Open
28,ERROR,tds_timing,ANDREAL INNOVATION PVT LTD,ABACA2255R,194C,,"Late TDS deduction on ANDREAL INNOVATION PVT LTD (194C): Expense on 13-Jul-2024, TDS deducted on 01-Mar-2025 (231 days late, 8 month(s)). Interest u/s 201(1A): ₹40 (500 × 1% × 8 months).",Manual review required.,Open
29,ERROR,tds_timing,ANDREAL INNOVATION PVT LTD,ABACA2255R,194C,,"Late TDS deduction on ANDREAL INNOVATION PVT LTD (194C): Expense on 13-Jul-2024, TDS deducted on 01-Mar-2025 (231 days late, 8 month(s)). Interest u/s 201(1A): ₹48 (600 × 1% × 8 months).",Manual review required.,Open
30,ERROR,tds_timing,ANDREAL INNOVATION PVT LTD,ABACA2255R,194C,,"Late TDS deduction on ANDREAL INNOVATION PVT LTD (194C): Expense on 31-Jul-2024, TDS deducted on 01-Mar-2025 (213 days late, 8 month(s)). Interest u/s 201(1A): ₹18 (230 × 1% × 8 months).",Manual review required.,Open
31,ERROR,tds_timing,ANDREAL INNOVATION PVT LTD,ABACA2255R,194C,,"Late TDS deduction on ANDREAL INNOVATION PVT LTD (194C): Expense on 04-Feb-2025, TDS deducted on 01-Mar-2025 (25 days late, 1 month(s)). Interest u/s 201(1A): ₹3 (300 × 1% × 1 months).",Manual review required.,Open
32,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 04-Apr-2024, TDS deducted on 30-Apr-2024 (26 days late, 1 month(s)). Interest u/s 201(1A): ₹4 (450 × 1% × 1 months).",Manual review required.,Open
33,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 04-Apr-2024, TDS deducted on 30-Apr-2024 (26 days late, 1 month(s)). Interest u/s 201(1A): ₹2 (224 × 1% × 1 months).",Manual review required.,Open
34,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 16-May-2024, TDS deducted on 31-May-2024 (15 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (133 × 1% × 1 months).",Manual review required.,Open
35,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 30-May-2024, TDS deducted on 31-May-2024 (1 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (33 × 1% × 1 months).",Manual review required.,Open
36,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 30-May-2024, TDS deducted on 31-May-2024 (1 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (11 × 1% × 1 months).",Manual review required.,Open
37,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 18-Jun-2024, TDS deducted on 30-Jun-2024 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (11 × 1% × 1 months).",Manual review required.,Open
38,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 18-Jun-2024, TDS deducted on 30-Jun-2024 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹9 (858 × 1% × 1 months).",Manual review required.,Open
39,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 22-Jun-2024, TDS deducted on 30-Jun-2024 (8 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (25 × 1% × 1 months).",Manual review required.,Open
40,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 03-Jul-2024, TDS deducted on 31-Jul-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (11 × 1% × 1 months).",Manual review required.,Open
41,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 03-Jul-2024, TDS deducted on 31-Jul-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (12 × 1% × 1 months).",Manual review required.,Open
42,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 03-Jul-2024, TDS deducted on 31-Jul-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (12 × 1% × 1 months).",Manual review required.,Open
43,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 03-Jul-2024, TDS deducted on 31-Jul-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (6 × 1% × 1 months).",Manual review required.,Open
44,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 03-Jul-2024, TDS deducted on 31-Jul-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (6 × 1% × 1 months).",Manual review required.,Open
45,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 12-Jul-2024, TDS deducted on 31-Jul-2024 (19 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (76 × 1% × 1 months).",Manual review required.,Open
46,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 12-Jul-2024, TDS deducted on 31-Jul-2024 (19 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (39 × 1% × 1 months).",Manual review required.,Open
47,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 12-Jul-2024, TDS deducted on 31-Jul-2024 (19 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (36 × 1% × 1 months).",Manual review required.,Open
48,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 25-Jul-2024, TDS deducted on 31-Jul-2024 (6 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (14 × 1% × 1 months).",Manual review required.,Open
49,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 02-Aug-2024, TDS deducted on 31-Aug-2024 (29 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (13 × 1% × 1 months).",Manual review required.,Open
50,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 05-Aug-2024, TDS deducted on 31-Aug-2024 (26 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (8 × 1% × 1 months).",Manual review required.,Open
51,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 05-Aug-2024, TDS deducted on 31-Aug-2024 (26 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (6 × 1% × 1 months).",Manual review required.,Open
52,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 16-Aug-2024, TDS deducted on 31-Aug-2024 (15 days late, 1 month(s)). Interest u/s 201(1A): ₹2 (205 × 1% × 1 months).",Manual review required.,Open
53,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 16-Aug-2024, TDS deducted on 31-Aug-2024 (15 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (28 × 1% × 1 months).",Manual review required.,Open
54,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 16-Aug-2024, TDS deducted on 31-Aug-2024 (15 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (11 × 1% × 1 months).",Manual review required.,Open
55,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Aug-2024, TDS deducted on 31-Aug-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹4 (392 × 1% × 1 months).",Manual review required.,Open
56,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 10-Sep-2024, TDS deducted on 30-Sep-2024 (20 days late, 1 month(s)). Interest u/s 201(1A): ₹2 (246 × 1% × 1 months).",Manual review required.,Open
57,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 24-Sep-2024, TDS deducted on 30-Sep-2024 (6 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (14 × 1% × 1 months).",Manual review required.,Open
58,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 24-Sep-2024, TDS deducted on 30-Sep-2024 (6 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (12 × 1% × 1 months).",Manual review required.,Open
59,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 07-Oct-2024, TDS deducted on 31-Oct-2024 (24 days late, 1 month(s)). Interest u/s 201(1A): ₹8 (773 × 1% × 1 months).",Manual review required.,Open
60,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 07-Oct-2024, TDS deducted on 31-Oct-2024 (24 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (32 × 1% × 1 months).",Manual review required.,Open
61,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 07-Oct-2024, TDS deducted on 31-Oct-2024 (24 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (18 × 1% × 1 months).",Manual review required.,Open
62,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 19-Oct-2024, TDS deducted on 31-Oct-2024 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (15 × 1% × 1 months).",Manual review required.,Open
63,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 19-Oct-2024, TDS deducted on 31-Oct-2024 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (18 × 1% × 1 months).",Manual review required.,Open
64,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 02-Nov-2024, TDS deducted on 30-Nov-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (6 × 1% × 1 months).",Manual review required.,Open
65,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 02-Nov-2024, TDS deducted on 30-Nov-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (136 × 1% × 1 months).",Manual review required.,Open
66,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 02-Nov-2024, TDS deducted on 30-Nov-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹2 (180 × 1% × 1 months).",Manual review required.,Open
67,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 02-Nov-2024, TDS deducted on 30-Nov-2024 (28 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (12 × 1% × 1 months).",Manual review required.,Open
68,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 12-Nov-2024, TDS deducted on 30-Nov-2024 (18 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (46 × 1% × 1 months).",Manual review required.,Open
69,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (12 × 1% × 1 months).",Manual review required.,Open
70,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (74 × 1% × 1 months).",Manual review required.,Open
71,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (43 × 1% × 1 months).",Manual review required.,Open
72,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (55 × 1% × 1 months).",Manual review required.,Open
73,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (41 × 1% × 1 months).",Manual review required.,Open
74,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (118 × 1% × 1 months).",Manual review required.,Open
75,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (42 × 1% × 1 months).",Manual review required.,Open
76,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹2 (156 × 1% × 1 months).",Manual review required.,Open
77,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 26-Nov-2024, TDS deducted on 30-Nov-2024 (4 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (27 × 1% × 1 months).",Manual review required.,Open
78,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (47 × 1% × 1 months).",Manual review required.,Open
79,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (16 × 1% × 1 months).",Manual review required.,Open
80,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (61 × 1% × 1 months).",Manual review required.,Open
81,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (74 × 1% × 1 months).",Manual review required.,Open
82,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹1 (74 × 1% × 1 months).",Manual review required.,Open
83,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (28 × 1% × 1 months).",Manual review required.,Open
84,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (44 × 1% × 1 months).",Manual review required.,Open
85,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (44 × 1% × 1 months).",Manual review required.,Open
86,ERROR,tds_timing,INLAND WORLD LOGISTICS PVT LTD,AAACI5607C,194C,,"Late TDS deduction on INLAND WORLD LOGISTICS PVT LTD (194C): Expense on 17-Dec-2024, TDS deducted on 31-Dec-2024 (14 days late, 1 month(s)). Interest u/s 201(1A): ₹0 (28 × 1% × 1 months).",Manual review required.,Open
